rank,type,target,score
253,Protein,Protein:ODC1,8.125
254,Protein,Protein:LYN,8.125
255,Protein,Protein:PRKAA2,8.125
256,Protein,Protein:TIMP1,8.0625
257,Protein,Protein:TH,8.0625
258,Protein,Protein:CYP19A1,8.0625
259,Protein,Protein:NQO1,8.0625
260,Protein,Protein:TAC1,8.0625
261,Protein,Protein:JAK3,8
262,Protein,Protein:SHH,8
263,Protein,Protein:SLC9A1,8
264,Protein,Protein:CNR2,8
265,Protein,Protein:PRKCE,8
266,Protein,Protein:ACE,8
267,Protein,Protein:FABP1,7.96875
268,Protein,Protein:TOP2A,7.96875
269,Protein,Protein:BUB1,7.96875
270,Protein,Protein:CD86,7.9375
271,Protein,Protein:HGF,7.9375
272,Protein,Protein:SNCA,7.9375
273,Protein,Protein:MAP1LC3B,7.9375
274,Protein,Protein:VAMP2,7.9375
275,Protein,Protein:CYP2C19,7.9375
276,Protein,Protein:ZEB1,7.90625
277,Protein,Protein:SLC32A1,7.90625
278,Protein,Protein:EZR,7.90625
279,Protein,Protein:TSPO,7.90625
280,Protein,Protein:IDE,7.90625
281,Protein,Protein:SYN1,7.875
282,Protein,Protein:STAR,7.875
283,Protein,Protein:COMT,7.875
284,Protein,Protein:ASGR1,7.875
285,Protein,Protein:SLC2A3,7.875
286,Protein,Protein:IL17A,7.875
287,Protein,Protein:ITGAV,7.875
288,Protein,Protein:PLD1,7.84375
289,Protein,Protein:FGF23,7.84375
290,Protein,Protein:GSTA1,7.84375
291,Protein,Protein:BSG,7.84375
292,Protein,Protein:NEDD4L,7.84375
293,Protein,Protein:BIRC3,7.84375
294,Protein,Protein:SLCO1A2,7.8125
295,Protein,Protein:GRIN2B,7.8125
296,Protein,Protein:SPHK1,7.8125
297,RBP,RBP:MOV10,7.8125
298,Protein,Protein:SERPINB3,7.8125
299,Protein,Protein:MME,7.8125
300,Protein,Protein:IL1A,7.8125
