青黛,寒,,,,,,,,,咸,,,,,,,,,,,肝,,,"['清热','凉血','定惊']"
青果,,,,,平,酸,,甘,,,肺,,,,,,胃,,,,,,,"['清热','利咽','生津','解毒']"
青蒿,寒,,,,,,苦,,辛,,,,,,,,,胆,,,肝,,,"['清热','解毒','除骨蒸','截疟']"
人参,,,温,,,,微苦,甘,,,肺,,心,,,,,,,脾,,肾,,"['大补','元气','复脉','固脱','补脾','益肺','生津','安神']"
忍冬藤,寒,,,,,,,甘,,,肺,,,,,,胃,,,,,,,"['清热','解毒','疏风','通络']"
肉苁蓉,,,温,,,,,甘,,咸,,,,大肠,,,,,,,,肾,,"['补肾阳','益精血','润肠','通便']"
肉桂,,大热,,,,,,甘,辛,,,,心,,,,,,,脾,肝,肾,,"['补火','助阳','引火','归元','散寒','止痛','温通','经脉']"
三七,,,温,,,,微苦,甘,,,,,,,,,胃,,,,肝,,,"['散瘀','止血','消肿','定痛']"
桑寄生,,,,,平,,苦,甘,,,,,,,,,,,,,肝,肾,,"['补肝肾','强筋骨','祛风湿','安胎元']"
桑叶,寒,,,,,,苦,甘,,,肺,,,,,,,,,,肝,,,"['疏散','风热','清肺','润燥','清肝','明目']"
桑枝,,,,,平,,苦,,,,,,,,,,,,,,肝,,,"['祛风湿','通经络','行水气']"
砂仁,,,温,,,,,,辛,,,,,,,,胃,,,脾,,肾,,"['化湿','开胃','温脾','止泻','理气','安胎']"
山豆根,寒,,,,,,苦,,,,肺,,,,,,胃,,,,,,有毒,"['清热','解毒','消肿','利咽']"
山柰,,,温,,,,,,辛,,,,心,,,,胃,,,,,,,"['行气','温中','消食','止痛']"
山药,,,,,平,,,甘,,,肺,,,,,,,,,脾,,肾,,"['补脾','养胃','生津','益肺','补肾','涩精']"
山楂,,,微温,,,酸,,甘,,,,,,,,,胃,,,脾,肝,,,"['消食','健脾','行气','消瘀']"
山茱萸,,,微温,,,酸,,,,,,,,,,,,,,,肝,肾,,"['补益','肝肾','收涩','固脱']"
芍药,微寒,,,,,酸,苦,,,,,,,,,,,,,脾,肝,,,"['养血','调经','敛阴','止汗','柔肝','止痛','平抑肝阳']"
射干,寒,,,,,,苦,,,,肺,,,,,,,,,,,,,"['清热','解毒','消痰','利咽']"
麝香,,,温,,,,,,辛,,,,心,,,,,,,脾,,,,"['开窍','醒神','活血','通经','消肿','止痛']"
升麻,微寒,,,,,,,微甘,辛,,肺,,,大肠,,,胃,,,脾,,,,"['发表','透疹','清热','解毒','升举','阳气']"
生姜,,,微温,,,,,,辛,,肺,,,,,,胃,,,脾,,,,"['散寒','解表','降逆','止呕','化痰','止咳','解鱼','蟹毒']"
石菖蒲,,,微温,,,,苦,,辛,,,,心,,,,胃,,,,,,,"['开窍','豁痰','理气','活血','散风','去湿']"
石膏,大寒,,,,,,,甘,辛,,肺,,,,,,胃,,,,,,,"['清热','降火','除烦','止渴']"
首乌藤,,,,,平,,,甘,,,,,心,,,,,,,,肝,,,"['养血','安神','祛风','通络']"
熟地黄,,,微温,,,,,甘,,,,,,,,,,,,,肝,肾,,"['补血','滋阴','益精','填髓']"
水牛角,寒,,,,,,苦,,,,,,心,,,,,,,,肝,,,"['清热','解毒','凉血','定惊']"
苏合香,,,温,,,,,,辛,,,,心,,,,,,,脾,,,,"['开窍','辟秽','止痛']"
桃仁,,,,,平,,苦,甘,,,,,心,大肠,,,,,,,肝,,,"['活血','祛痰','润肠','通便']"
天花粉,微寒,,,,,,微苦,甘,,,肺,,,,,,胃,,,,,,,"['清热','生津','消肿','排脓']"
葶苈子,大寒,,,,,,苦,,辛,,肺,,,,,,,,膀胱,,,,,"['泻肺','平喘','行气','消肿']"
通草,微寒,,,,,,,甘,,,肺,,,,,,胃,,,,,,,"['清热','利尿','通气','下乳']"
土茯苓,,,,,平,,,甘,,,,,,,,,胃,,,,肝,,,"['解毒','利尿','通利','关节']"
威灵仙,,,温,,,,,,辛,咸,,,,,,,,,膀胱,,,,,"['祛风','除湿','通络','止痛']"
五味子,,,温,,,酸,,甘,,,肺,,心,,,,,,,,,肾,,"['收敛','固涩','益气','生津','补肾','宁心']"
